Timestamp,DistanceCM,OffsetRatio,BallDetected,DistToMarker0,DistToMarker1,DistFromOffset,Velocity,FrameTimeSec,FrameRateHz
"2025-01-18 03:08:25.835",0.00,0.00,0,0.00,0.00,0.00,0.00,0.021990,45.48
"2025-01-18 03:08:25.958",0.00,0.00,0,0.00,0.00,0.00,0.00,0.042899,23.31
"2025-01-18 03:08:26.096",0.00,0.00,0,0.00,0.00,0.00,0.00,0.039462,25.34
"2025-01-18 03:08:26.162",0.00,0.00,0,0.00,0.00,0.00,0.00,0.033031,30.28
"2025-01-18 03:08:26.328",0.00,0.00,0,0.00,0.00,0.00,0.00,0.028083,35.61
"2025-01-18 03:08:26.392",0.00,0.00,0,0.00,0.00,0.00,0.00,0.036719,27.23
"2025-01-18 03:08:26.558",0.00,0.00,0,0.00,0.00,0.00,0.00,0.038102,26.25
"2025-01-18 03:08:26.620",0.00,0.00,0,0.00,0.00,0.00,0.00,0.038005,26.31
"2025-01-18 03:08:26.798",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024515,40.79
"2025-01-18 03:08:26.880",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031439,31.81
"2025-01-18 03:08:27.036",0.00,0.00,0,0.00,0.00,0.00,0.00,0.060079,16.64
"2025-01-18 03:08:27.135",0.00,0.00,0,0.00,0.00,0.00,0.00,0.076129,13.14
"2025-01-18 03:08:27.291",0.00,0.00,0,0.00,0.00,0.00,0.00,0.068339,14.63
"2025-01-18 03:08:27.332",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031132,32.12
"2025-01-18 03:08:27.468",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023220,43.07
"2025-01-18 03:08:27.569",0.00,0.00,0,0.00,0.00,0.00,0.00,0.025986,38.48
"2025-01-18 03:08:27.699",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023470,42.61
"2025-01-18 03:08:27.786",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024949,40.08
"2025-01-18 03:08:27.878",0.00,0.00,0,0.00,0.00,0.00,0.00,0.026117,38.29
"2025-01-18 03:08:27.952",0.00,0.00,0,0.00,0.00,0.00,0.00,0.037289,26.82
"2025-01-18 03:08:28.023",0.00,0.00,0,0.00,0.00,0.00,0.00,0.039414,25.37
